,0
1,30318.3364666667
2,31996.08581666669
3,29290.25321666668
4,29427.00346666667
5,35424.08543333334
6,34001.92123333332
7,43724.34361666665
8,98259.78426666671
9,120638.34853333335
10,145661.0162166667
11,148680.33591666672
12,130495.51448333335
13,92154.1504666667
14,69665.17581666663
15,82043.8727
16,98693.40866666664
17,88648.30733333336
18,72628.8758
19,56304.153483333306
20,55324.590749999996
21,58218.19063333337
22,52584.95418333336
23,43178.121316666664
24,38236.08480000002
25,25984.588116666673
26,27282.336250000037
27,28259.502616666654
28,28490.753266666674
29,27229.50393333331
30,32505.837599999984
31,41664.34489999998
32,78082.33363333339
33,122308.21288333336
34,146944.12765000004
35,156925.61281666657
36,139395.7085666666
37,97859.57043333336
38,72232.12465000004
39,88101.21641666666
40,94208.9018166667
41,85587.95194999999
42,72714.02523333332
43,63501.69025
44,56476.33965000001
45,52295.22428333334
46,52773.60633333335
47,45973.1726666667
48,37235.502316666694
49,26855.586366666677
50,28248.5015
51,28780.251066666653
52,28953.085433333345
53,27128.169983333337
54,32124.587749999973
55,57402.59188333331
56,94968.41461666668
57,119639.7949666666
58,150650.8815166667
59,144462.89871666668
60,136204.9094
61,90833.15089999998
62,71167.46349999998
63,80615.37289999999
64,98140.86198333334
65,93761.49106666664
66,73354.09225000005
67,55954.104733333355
68,59449.62363333339
69,54464.08930000004
70,50412.83861666665
71,44839.620883333315
72,37673.736016666706
73,28846.920066666695
74,30195.417850000005
75,30232.58654999998
76,29459.171316666652
77,29253.087449999977
78,40759.504016666644
79,57859.84276666665
80,94175.27945
81,123845.71399999999
82,147958.61323333337
83,146710.13721666666
84,125115.59983333331
85,90914.06804999999
86,73466.89275000001
87,81947.75580000001
88,94129.58803333333
89,100285.55995000005
90,68296.51514999993
91,61889.22140000003
92,63112.672799999986
93,58757.33923333336
94,56575.837133333414
95,49347.38721666669
96,42473.53685000001
97,28118.752516666693
98,29339.585600000028
99,29069.25265
100,27540.919883333343
101,29525.169850000013
102,38587.503616666676
103,51899.25721666669
104,92229.56661666666
105,115666.06703333328
106,134378.6138833333
107,142166.44913333334
108,134514.92494999993
109,87771.86465000002
110,73851.12628333335
111,85538.77221666666
112,95355.17266666665
113,89323.80723333333
114,64625.17670000005
115,56233.12175000003
116,57302.50630000004
117,51921.989400000035
118,48168.771083333326
119,45469.91928333334
120,42562.81825000001
121,26488.419316666677
122,26224.25095000001
123,25057.66848333335
124,27401.917716666663
125,29226.751183333323
126,30012.418183333364
127,34548.585450000035
128,36538.20298333337
129,40372.67165000004
130,48005.17503333332
131,54687.50691666667
132,53324.07348333337
133,48042.85511666667
134,45918.82106666666
135,47167.307333333294
136,52728.89131666669
137,46496.10759999998
138,44394.605350000056
139,46746.88675
140,45889.00305000005
141,44902.503833333365
142,44452.60381666669
143,35287.02008333335
144,36166.25223333333
145,26969.67005000003
146,26037.00228333335
147,25684.91891666669
148,26322.917983333336
149,29029.166933333323
150,30676.58485
151,27393.335466666664
152,34505.837416666654
153,49906.67183333342
154,57772.75749999996
155,56784.94166666664
156,49040.37433333336
157,48446.94180000001
158,49068.17083333333
159,50935.055733333335
160,58109.73933333337
161,45239.440133333344
162,42061.173150000024
163,43896.587616666686
164,45704.418850000045
165,43729.22023333335
166,42271.67080000001
167,42653.83605000001
168,34944.75276666669
169,28362.752783333362
170,29247.33650000001
171,29555.00248333337
172,28707.50220000003
173,31097.33416666667
174,34426.0025166667
175,49693.378083333366
176,92028.37073333334
177,119989.32969999994
178,146052.6777
179,155901.93098333338
180,134013.76288333331
181,92917.21876666667
182,75468.4117
183,92287.05451666666
184,106735.80078333332
185,94309.00801666663
186,72824.8434333333
187,61154.60641666673
188,65245.88953333337
189,57446.25771666666
190,49630.67168333335
191,46931.33688333333
192,35469.919266666686
193,28716.00246666667
194,27779.41831666667
195,27063.168449999983
196,27747.58515000001
197,33475.66826666664
198,36438.66976666665
199,42823.0910833333
200,85711.3348
201,105411.26809999999
202,148845.88098333337
203,158895.58233333327
204,129609.94395000002
205,90479.5186333333
206,66934.91104999998
207,82443.06961666663
208,89893.19604999997
209,83427.61316666668
210,65769.94565000001
211,59853.65534999999
212,60089.339866666734
213,57083.15660000003
214,50314.55486666665
215,39603.08783333337
216,33846.83455
217,26203.003183333356
218,28503.502483333334
219,29095.168483333353
220,26976.670516666654
221,32251.752850000026
222,39220.170900000005
223,52672.00723333332
224,92044.88314999997
225,123966.1638833333
226,146141.4660166666
227,149681.38556666663
228,129823.40869999993
229,92749.45263333335
230,73822.5662
231,83900.84108333332
232,103284.8077
233,89416.69564999995
234,65859.04441666667
235,59025.27205
236,64559.73833333336
237,60062.08834999998
238,51402.65480000003
239,50190.95233333336
