,0
1,28951.62068333333
2,29756.019750000003
3,29666.447750000003
4,29540.09856666667
5,34226.75266666669
6,44821.068883333326
7,54800.58213333333
8,89724.17284999997
9,124211.41065000002
10,175730.79406666668
11,215748.50863333326
12,195165.6656166667
13,155697.0873500001
14,139595.66676666666
15,158705.9724833334
16,157729.47470000005
17,106003.97868333332
18,74585.31175000004
19,74835.87753333335
20,91831.7626166667
21,63983.18219999999
22,50975.17463333334
23,39123.356983333324
24,32537.483316666658
25,28065.156383333335
26,31384.520666666656
27,29865.470716666656
28,29120.802900000002
29,32375.994966666647
30,34396.22319999999
31,44990.79106666665
32,90680.61041666663
33,145296.38268333333
34,193617.12778333333
35,211937.48416666657
36,203877.0054333334
37,171008.6295333335
38,147200.09908333333
39,155483.99323333334
40,160130.15923333328
41,121305.56088333338
42,72237.32006666668
43,77464.95593333333
44,106251.88661666671
45,79618.47038333335
46,50256.91686666666
47,39142.53008333334
48,35399.215700000015
49,27674.474583333344
50,28394.74383333333
51,29081.953183333335
52,28168.85273333333
53,32616.054316666672
54,37695.068116666676
55,56453.41175000001
56,92911.75300000004
57,132456.1260833333
58,180221.18565000006
59,223198.09475000008
60,207962.83618333336
61,162165.3774
62,146857.18043333341
63,156366.60536666666
64,161021.1386
65,133853.50146666664
66,71402.0572833333
67,75905.21048333336
68,92739.62834999998
69,69260.55301666666
70,52784.86520000001
71,47161.19899999999
72,32556.33776666667
73,28023.071450000007
74,27931.853116666643
75,27950.98626666666
76,28452.718583333342
77,29384.33543333335
78,34309.179016666676
79,64996.618566666686
80,98948.29256666666
81,147763.1475
82,194210.15413333336
83,220027.3526666666
84,232235.2972499999
85,172765.79538333334
86,159309.96965
87,172511.7399833333
88,168192.7936
89,130435.50895
90,82101.91161666665
91,71581.89941666668
92,101489.01725
93,81287.20235000002
94,55166.14160000001
95,50038.82046666667
96,32539.15253333335
97,27908.823199999995
98,29672.80604999998
99,30535.105383333335
100,28908.59666666666
101,34543.34933333333
102,36302.969699999994
103,49397.34753333333
104,86204.0857666667
105,132746.50313333335
106,186607.15573333332
107,215645.36904999986
108,210433.1209666667
109,170319.92391666668
110,160546.75029999999
111,171402.21908333333
112,165373.85951666665
113,126074.96946666673
114,80541.20301666668
115,76360.60143333333
116,90262.12941666669
117,79011.79445
118,51740.47383333334
119,43379.20351666667
120,37357.62053333334
121,27386.30550000001
122,28338.724283333348
123,26693.422250000018
124,26965.584450000013
125,26617.750766666675
126,32751.82328333333
127,33938.307816666675
128,38361.61743333333
129,49900.49014999998
130,54527.6011
131,51418.44378333334
132,52286.992183333314
133,50762.66254999999
134,49290.78108333332
135,49479.02916666665
136,56937.696416666666
137,47584.39386666668
138,41416.72346666666
139,46075.722100000006
140,47628.78481666669
141,47860.618783333324
142,50177.091033333316
143,49339.92301666668
144,37685.014699999985
145,25641.156883333333
146,25862.075350000006
147,26403.27399999999
148,27559.567933333336
149,26636.096016666663
150,27821.782733333337
151,25490.905849999996
152,36069.03238333333
153,51097.47868333333
154,51888.081083333316
155,58019.904000000024
156,54659.245899999994
157,53650.84676666669
158,51383.76020000001
159,50545.84788333332
160,53250.89641666666
161,51646.21178333335
162,52333.838650000005
163,49147.0828
164,50305.99551666664
165,47750.67753333333
166,47528.31208333334
167,35459.727316666664
168,34194.047600000005
169,28363.17035000001
170,28162.45231666666
171,26943.435083333323
172,27809.36706666668
173,28374.766016666657
174,35316.0886
175,45980.624083333314
176,84398.4693
177,124992.03126666666
178,183959.2199166667
179,211149.6607500001
180,198512.08264999997
181,166058.5467833333
182,146458.38660000006
183,145270.1514333334
184,157556.28718333336
185,110367.7246166666
186,66450.12069999998
187,70000.29226666666
188,94775.36218333333
189,71925.20878333335
190,51640.364483333324
191,48310.03748333331
192,47876.767199999995
193,27652.673499999994
194,27993.15823333333
195,28721.63923333333
196,29797.88164999999
197,30496.828449999997
198,39061.90170000001
199,57106.62323333334
200,93803.77881666669
201,125812.86520000001
202,172946.67173333335
203,211173.06668333334
204,198251.93763333338
205,158865.74176666664
206,149170.2626333334
207,147801.50761666664
208,158885.0150333334
209,125714.51951666662
210,82743.69893333338
211,72613.79646666667
212,91212.84098333333
213,70187.22885000003
214,50548.36571666669
215,47042.72011666666
216,33121.985883333335
217,27517.67143333333
218,27710.89008333334
219,28998.33708333333
220,27806.37368333333
221,30923.621383333342
222,34113.42818333334
223,53601.826649999995
224,97020.35463333335
225,135138.99516666666
226,184403.70956666672
227,217374.88799999992
228,204580.56638333315
229,157969.81863333334
230,144379.82836666665
231,168437.70643333337
232,158253.72136666675
233,129713.86948333334
234,94300.66463333332
235,84070.8765
236,98199.0003833333
237,78586.98475000003
238,52167.93823333332
239,54163.27023333334
240,47550.407949999986
241,29237.48525000001
242,27926.36591666668
243,28805.350916666655
244,32175.382716666685
245,32726.164516666682
246,30337.544866666663
247,34523.19978333334
248,90703.11138333334
249,133015.54938333333
250,170514.13826666673
251,206492.29768333322
252,202262.55681666665
253,154837.8031833334
254,141894.00018333332
255,147339.32348333337
256,148852.73068333336
257,123114.29613333334
258,78471.0934666667
259,82503.2129
260,100022.97405
261,71682.22135
262,55437.55325000001
263,50543.06069999999
264,46043.652316666674
265,28482.705349999997
266,29008.858249999994
267,30063.36808333335
268,30230.419049999993
269,29822.09933333333
270,29942.393466666672
271,42569.33098333333
272,88617.56211666667
273,131326.80849999998
274,180466.5944499999
275,222165.96768333326
276,205651.02621666656
277,164792.20293333335
278,152522.69863333332
279,160903.94843333334
280,158880.69331666673
281,131381.20983333336
282,82738.16268333333
283,82262.07560000001
284,107774.86145
285,89959.86785000004
286,55105.751033333334
287,52470.237616666636
288,40999.5842
289,28562.39173333334
290,27306.540499999992
291,26684.68461666667
292,28020.881916666654
293,27110.418683333333
294,37291.32161666666
295,39236.70123333334
296,42090.40195000001
297,42593.69738333335
298,53533.01611666668
299,51115.140133333305
300,54764.39273333337
301,55450.40861666668
302,50224.44255
303,50061.50636666667
304,52621.845
305,49288.42346666665
306,45126.06898333331
307,49366.08
308,47345.68966666664
309,46582.0572
310,48008.32323333332
311,37287.359466666676
312,32649.779066666677
313,27729.52121666668
314,27840.870033333336
315,25038.654200000004
316,28327.216183333334
317,29634.99563333333
318,27495.90674999999
319,23668.34863333334
320,30546.684716666663
321,49705.37051666668
322,51055.102749999984
323,57555.12333333336
324,61389.26578333333
325,57495.16615000003
326,51063.21156666669
327,52447.243166666674
328,53526.501150000026
329,55200.378999999986
330,48166.117233333316
331,50174.8061
332,47746.089349999995
333,49038.17034999999
334,49816.45614999999
335,47653.17430000002
336,42995.77466666667
337,27576.038733333346
338,29436.706000000013
339,30720.83526666668
340,29692.706066666655
341,28538.25293333333
342,33621.41546666667
343,53971.19613333335
344,83065.39838333336
345,134131.2888833333
346,199295.55189999993
347,225823.94161666682
348,225028.2035500002
349,186915.5264333333
350,154934.52414999995
351,162411.60781666668
352,156291.67555
353,119848.62645000003
354,74692.87446666666
355,78669.83868333335
356,97199.27083333333
357,78818.78600000001
358,54433.50038333333
359,49276.566216666666
360,42293.45371666667
361,27771.724299999994
362,28014.922783333335
363,27261.653533333334
364,27865.651183333342
365,31878.585416666654
366,37553.653983333345
367,58052.1689
368,94578.38966666666
369,124638.36499999996
370,174021.9285666667
371,195217.76101666671
372,178513.35546666675
373,147058.53563333323
374,128015.02369999998
375,141122.1194333333
376,162302.90858333337
377,120205.72703333339
378,79967.5405333333
379,73825.17703333334
380,81625.80256666668
381,67195.91911666667
382,55467.972766666666
383,47277.78599999999
384,37111.18111666668
385,30023.954983333322
386,31167.87075000001
387,28163.26645000001
388,28557.60218333332
389,29117.0887
390,32423.22115
391,51775.320616666664
392,96380.59676666664
393,127741.77193333338
394,183321.77081666654
395,203820.13815
396,188283.24418333342
397,158592.33654999998
398,138968.0370833334
399,148212.90466666667
400,149686.86368333342
401,133126.1813
402,81438.88886666668
403,78937.03788333332
404,90968.82755000002
405,72623.25943333331
406,57174.57328333333
407,53457.65336666667
408,43696.98276666667
409,27027.626133333342
410,27333.295466666677
411,25847.376800000002
412,27134.975150000006
413,30591.27116666668
414,44752.84535
415,48033.66958333332
416,86397.58643333334
417,122258.85536666666
418,188796.39255000005
419,214771.9992166667
420,192009.45673333335
421,147718.19421666668
422,138033.4918666667
423,146176.50473333336
424,150655.0891833333
425,119077.40803333338
426,76494.10926666665
427,84896.92420000002
428,92009.59870000005
429,72079.35281666668
430,53291.17365000001
431,50405.23286666666
432,45427.53491666667
433,28504.45976666668
434,27262.847666666665
435,29296.62491666668
436,29572.95855000002
437,34685.50748333332
438,50109.524166666684
439,64541.64319999998
440,99631.28468333335
441,116799.22068333333
442,163702.56563333335
443,210922.31356666668
444,205372.14086666665
445,165559.96563333325
446,144982.22255
447,159937.7375333334
448,167866.86320000014
449,122693.11548333334
450,79621.30305
451,77970.73824999998
452,103296.9490166667
453,74854.63710000007
454,54805.752199999995
455,49073.43013333331
456,33698.452583333354
457,26516.072949999998
458,27030.043333333346
459,26560.55443333334
460,26669.180450000007
461,31064.50348333334
462,32763.14386666667
463,34902.777883333336
464,41132.24121666667
465,46741.272366666686
466,52747.79319999995
467,66339.3689166667
468,60090.29446666672
469,53629.81301666669
470,50246.96123333332
471,52450.567683333335
472,57783.52393333334
473,53236.22438333333
474,46973.55011666668
475,47513.781483333325
476,47341.93398333333
477,47102.92343333332
478,47249.16673333333
479,48768.19673333332
480,44591.11610000001
481,25037.63796666668
482,25219.040683333315
483,28365.18683333332
484,32602.91868333334
485,29823.886916666663
486,28927.04268333334
487,25087.978100000008
488,42531.58076666667
489,50801.81129999999
490,57002.91055
491,57552.420683333374
492,55109.20801666667
493,52694.529583333344
494,51167.34449999999
495,55693.39386666668
496,54202.67995
497,55205.14646666667
498,51335.29878333335
499,49548.41051666667
500,48181.678883333334
501,49219.54781666665
502,48722.407366666645
503,46676.20463333336
504,42613.95276666666
505,27744.00546666667
506,29579.72021666665
507,32878.51621666668
508,29203.332116666676
509,30666.414333333327
510,34363.22619999999
511,44890.47165
512,84293.97173333331
513,124793.94735
514,190735.1220833333
515,220860.41001666657
516,206915.7712666667
517,162958.6254333333
518,139639.39789999998
519,147636.4275833334
